Date,Open,High,Low,Close,Volume,Adj Close
2009-07-01,105.00,106.269997,104.730003,104.839996,5537300,91.427342
2009-06-30,105.690002,106.029999,103.809998,104.419998,7512600,91.061076
2009-06-29,105.989998,106.18,105.160004,105.830002,4681800,92.290692
2009-06-26,106.50,106.50,105.050003,105.68,5127900,92.159881
2009-06-25,103.699997,106.790001,103.510002,106.059998,6900600,92.491263
2009-06-24,105.389999,106.480003,103.720001,104.150002,6395200,90.825622
2009-06-23,104.75,104.870003,103.790001,104.440002,5152600,91.078521
2009-06-22,105.18,105.879997,104.230003,104.519997,7295400,91.148282
2009-06-19,106.309998,106.650002,105.50,105.889999,13559000,92.343014
2009-06-18,106.93,107.529999,106.120003,106.330002,6206900,92.726725
2009-06-17,107.459999,107.879997,106.879997,107.00,7366200,93.311007
2009-06-16,108.470001,109.139999,107.269997,107.32,7231000,93.590068
2009-06-15,107.629997,108.830002,107.239998,107.620003,8567600,93.85169
2009-06-12,108.400002,109.279999,107.75,108.209999,7250900,94.366205
2009-06-11,108.75,110.639999,108.559998,109.400002,9134300,95.403965
2009-06-10,109.199997,109.279999,107.050003,108.349998,7578100,94.488294
2009-06-09,108.150002,109.139999,107.989998,108.139999,8585900,94.305161
2009-06-08,106.639999,107.980003,105.50,107.489998,6363800,93.738317
2009-06-05,107.330002,108.400002,106.75,107.239998,7665000,93.520301
2009-06-04,106.169998,106.870003,105.599998,106.330002,5468500,92.726725
2009-06-03,106.529999,106.599998,105.110001,106.489998,7688000,92.866252
2009-06-02,107.510002,108.800003,106.660004,106.830002,7045800,93.162757
2009-06-01,106.940002,108.669998,106.669998,108.370003,7725000,94.505739
2009-05-29,104.470001,106.50,103.949997,106.279999,6871800,92.683119
2009-05-28,103.339996,105.139999,102.68,104.690002,6127500,91.296538
2009-05-27,104.339996,105.169998,102.910004,102.93,7119600,89.761701
2009-05-26,101.32,105.629997,101.019997,105.019997,7211200,91.584314
2009-05-22,102.669998,103.309998,101.75,101.889999,5596200,88.854752
2009-05-21,103.07,103.25,101.739998,102.82,7411500,89.665773
2009-05-20,105.510002,105.980003,103.809998,104.050003,7083100,90.738416
2009-05-19,104.330002,106.120003,104.00,105.510002,7079200,92.011631
2009-05-18,102.00,104.709999,101.940002,104.580002,7429500,91.20061
2009-05-15,100.900002,103.07,100.57,101.370003,8367400,88.401281
2009-05-14,101.720001,102.709999,100.769997,101.050003,9445100,88.12222
2009-05-13,102.879997,103.099998,101.349998,102.260002,8202100,89.177418
2009-05-12,102.980003,104.379997,102.370003,103.940002,7961600,90.642489
2009-05-11,101.089996,103.879997,100.949997,102.900002,8253000,89.73554
2009-05-08,103.580002,103.75,99.830002,101.489998,11575500,88.505924
2009-05-07,104.650002,104.800003,101.830002,102.589996,8521400,89.465195
2009-05-06,105.230003,105.50,103.709999,104.620003,7530900,91.235493
2009-05-05,106.00,106.82,105.510002,105.849998,6750000,91.828496
2009-05-04,105.260002,106.75,104.610001,106.190002,8313900,92.123461
2009-05-01,103.779999,104.860001,102.940002,104.610001,6234200,90.752755
2009-04-30,104.550003,106.050003,102.849998,103.209999,10654500,89.538206
2009-04-29,101.980003,105.00,101.669998,104.040001,9783700,90.258261
2009-04-28,99.360001,102.730003,99.25,101.940002,11110500,88.436441
2009-04-27,99.610001,101.690002,99.290001,99.949997,8611400,86.710043
2009-04-24,101.169998,101.580002,99.50,100.080002,10157500,86.822826
2009-04-23,102.650002,102.779999,99.800003,101.419998,9440400,87.985319
2009-04-22,101.169998,103.860001,101.059998,102.550003,12120000,88.965637
2009-04-21,98.410004,102.480003,98.199997,102.309998,15226700,88.757424
2009-04-20,100.290001,101.190002,99.209999,100.43,12524700,87.126462
2009-04-17,101.18,102.040001,99.690002,101.269997,10214200,87.855188
